	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0238	0.9985	0.0015	0.0019	0.0074	0.0249	0.9658	0.9990000000000001	0.001
D0754	0.9961	0.0039	0.054000000000000006	0.3039	0.541	0.1011	0.9999	0.0001
D0677	0.0017	0.9983	0.0163	0.6845	0.2536	0.0457	0.9999	0.0001
D0240	0.7633	0.2367	0.2597	0.5396	0.0654	0.1353	1.0	0.0
D1027	0.0217	0.9783	0.0475	0.2013	0.6831	0.0681	1.0	0.0
D0960	0.9690000000000001	0.031	0.1992	0.4369	0.0713	0.2926	0.9999	0.0001
D1009	0.0539	0.9461	0.0025	0.0037	0.9678	0.026000000000000002	0.9957	0.0043
D0727	0.9806	0.0194	0.6014	0.3037	0.0825	0.0124	0.5865	0.4135
D1086	0.2364	0.7636	0.3141	0.5345	0.0902	0.0612	0.1714	0.8286
D0726	0.6199	0.3801	0.3133	0.5219	0.1422	0.0226	0.9991	0.0009
D1140	0.9981	0.0019	0.1539	0.3209	0.2482	0.2771	0.9975	0.0025
D0216	0.0058	0.9942	0.5968	0.2197	0.1797	0.0038	1.0	0.0
D1107	0.0034	0.9966	0.0002	0.0008	0.9972	0.0018	0.9999	0.0001
D0936	0.0394	0.9606	0.1664	0.8315	0.0016	0.0006	1.0	0.0
D0627	0.0277	0.9723	0.2003	0.6398	0.1262	0.0337	0.9986	0.0014
D1016	0.08900000000000001	0.9109999999999999	0.9695	0.0278	0.0013	0.0014	1.0	0.0
D1112	0.0117	0.9883	0.3835	0.6119	0.0015	0.0032	1.0	0.0
D0851	0.5471	0.4529	0.6165	0.3657	0.0121	0.0057	0.9992	0.0008
D1071	0.1896	0.8104	0.0608	0.9007	0.023	0.0155	0.9998	0.0002
D0459	0.9124	0.0876	0.0864	0.8649	0.0336	0.0151	1.0	0.0
D1080	0.995	0.005	0.1304	0.3959	0.1086	0.3651	0.9981	0.0019
D1050	0.0447	0.9553	0.4069	0.5429	0.0429	0.0073	1.0	0.0
D1178	0.0305	0.9695	0.667	0.2852	0.0181	0.0297	1.0	0.0
D1097	0.0597	0.9403	0.0583	0.7383	0.1586	0.0449	1.0	0.0
D0678	0.0133	0.9867	0.0646	0.7401	0.1206	0.0747	0.9997	0.0003
D0603	0.1047	0.8953	0.139	0.8503	0.0063	0.0044	0.9999	0.0001
D0498	0.0261	0.9739	0.4047	0.5587	0.0309	0.0057	0.9733	0.0267
D0572	0.0099	0.9901	0.1155	0.1015	0.7752	0.0078	1.0	0.0
D0607	0.0297	0.9703	0.222	0.7147	0.057999999999999996	0.0053	1.0	0.0
D0457	0.0157	0.9843	0.0898	0.5957	0.2926	0.0218	0.1503	0.8497
D0528	0.044000000000000004	0.956	0.1508	0.8467	0.0016	0.0009	1.0	0.0
D0586	0.9994	0.0006	0.0122	0.5321	0.4495	0.0062	1.0	0.0
D1025	0.0059	0.9941	0.0201	0.7003	0.2721	0.0074	0.9998	0.0002
D0109	0.0016	0.9984	0.0223	0.0453	0.7758	0.1566	0.9984	0.0016
D0920	0.0998	0.9002	0.1071	0.8915	0.0009	0.0005	1.0	0.0
D1204	0.9997	0.0003	0.0	0.0	0.9999	0.0001	0.9999	0.0001
D0743	0.0002	0.9998	0.0	0.0002	0.9988	0.0009	1.0	0.0
D0445	0.0055	0.9945	0.0336	0.9507	0.0045	0.0112	1.0	0.0
D0456	0.0053	0.9947	0.1878	0.8103	0.0012	0.0007	0.9999	0.0001
